Nombres,Fecha_de_lanzamiento,Clasificaciones,Meta_scores,Puntuacion_de_usuarios
Breaking Away,"July 20, 1979", | PG,91,8.4
After Life,"May 12, 1999", | Not Rated,91,6.5
Son of Saul,"December 18, 2015", | R,91,7.3
Love Affair,"April 7, 1939", | TV-G,91,6.6
The Act of Killing,"July 19, 2013", | Not Rated,91,8.4
Frankenstein,"November 21, 1931", | Passed,91,8.0
Little Women,"December 25, 2019", | PG,91,7.5
E.T. The Extra-Terrestrial,"June 11, 1982", | PG,91,8.2
The African Queen,"March 21, 1952", | Passed,91,7.3
The Triplets of Belleville,"November 26, 2003", | PG-13,91,7.7
The Queen,"September 30, 2006", | PG-13,91,6.7
Flee,"December 3, 2021", | PG-13,91,7.7
All Quiet on the Western Front,"August 24, 1930", | TV-PG,91,8.4
EX LIBRIS: The New York Public Library,"September 13, 2017", | Not Rated,91,7.7
The Ladykillers,"February 20, 1956", | Not Rated,91,7.7
Young Mr. Lincoln,"June 9, 1939", | Approved,91,8.0
Uncut Gems,"December 13, 2019", | R,91,7.2
Killers of the Flower Moon,"October 6, 2023",N/A,91,tbd
Stories We Tell,"May 10, 2013", | PG-13,91,7.9
A Bread Factory Part One: For the Sake of Gold,"October 26, 2018",N/A,91,8.0
On the Waterfront,"July 28, 1954", | Approved,91,8.7
Jafar Panahi's Taxi,"October 2, 2015", | Not Rated,91,7.0
Ida,"May 2, 2014", | PG-13,91,7.5
Beau Travail,"March 31, 2000", | Not Rated,91,7.5
Her,"December 18, 2013", | R,91,8.6
Saint Omer,"January 13, 2023", | Not Rated,91,4.6
Lost in Translation,"September 12, 2003", | R,91,7.5
Waltz with Bashir,"December 25, 2008", | R,91,7.9
"This Is Not a Burial, It's a Resurrection","April 2, 2021", | Not Rated,91,6.0
They Shall Not Grow Old,"December 17, 2018", | Not Rated,91,8.5
Secrets & Lies,"September 27, 1996", | R,91,8.2
Memoria,"December 26, 2021", | Not Rated,91,6.1
An Autumn Afternoon,"May 20, 1964", | Not Rated,91,tbd
The Favourite,"November 23, 2018", | R,91,7.7
The Sweet Hereafter,"November 21, 1997", | TV-MA,91,8.1
The Right Stuff,"October 21, 1983", | PG,91,8.0
Bambi,"August 21, 1942", | Approved,91,7.7
Nomadland,"December 4, 2020", | R,91,7.3
Bringing Up Baby,"February 18, 1938", | TV-G,91,7.6
The Gatekeepers,"February 1, 2013", | PG-13,91,6.8
Nostalgia for the Light,"March 18, 2011", | Not Rated,91,8.1
Before Sunset,"July 2, 2004", | R,91,8.6
David Copperfield,"January 18, 1935", | Passed,91,tbd
Saving Private Ryan,"July 24, 1998", | TV-MA,91,8.8
Burning,"October 26, 2018", | Not Rated,90,7.7
The Worst Person in the World,"February 4, 2022", | Not Rated,90,7.6
Ben-Hur,"November 18, 1959", | G,90,8.4
After Hours,"September 13, 1985", | R,90,8.0
All the Beauty and the Bloodshed,"November 23, 2022", | Not Rated,90,8.4
The Crying Game,"November 25, 1992", | R,90,7.5
Great Expectations,"May 22, 1947", | Approved,90,7.7
Winter's Bone,"June 11, 2010", | R,90,7.3
Gett: The Trial of Viviane Amsalem,"February 13, 2015", | Not Rated,90,7.6
I Called Him Morgan,"March 24, 2017", | Not Rated,90,6.8
Close Encounters of the Third Kind,"November 16, 1977", | PG,90,7.9
The Godfather: Part II,"December 12, 1974", | R,90,9.0
Red Beard,"December 19, 1968", | Not Rated,90,7.9
The Hustler,"September 25, 1961", | TV-PG,90,8.3
Hit the Road,"April 22, 2022", | Not Rated,90,7.2
Procession,"November 19, 2021", | R,90,6.3
Bloody Sunday,"October 4, 2002", | R,90,8.0
My Voyage to Italy,"October 19, 2001", | PG-13,90,7.3
Phantom Thread,"December 25, 2017", | R,90,7.7
American Splendor,"August 15, 2003", | TV-MA,90,7.8
Gosford Park,"December 26, 2001", | TV-MA,90,7.3
Days,"August 13, 2021", | Not Rated,90,tbd
The Birds,"March 29, 1963", | PG-13,90,7.8
Wojnarowicz,"March 19, 2021", | Not Rated,90,2.5
Paths of the Soul,"May 13, 2016", | Not Rated,90,5.5
It's Such a Beautiful Day,"October 5, 2012", | Not Rated,90,8.1
My Perestroika,"March 23, 2011", | Not Rated,90,7.3
This Is Not a Film,"March 2, 2012", | Not Rated,90,6.3
To Have and Have Not,"January 20, 1945", | Approved,90,7.4
Finding Nemo,"May 30, 2003", | G,90,8.7
Topsy-Turvy,"December 17, 1999", | R,90,8.0
Samurai Rebellion,"December 1, 1967", | Not Rated,90,6.7
Small Axe: Mangrove,"November 20, 2020", | Not Rated,90,7.4
The Incredibles,"November 5, 2004", | PG,90,8.8
Being John Malkovich,"October 29, 1999", | R,90,8.7
A Prophet,"February 26, 2010", | R,90,8.5
Almost Famous,"September 13, 2000", | Unrated,90,6.1
Blue Is the Warmest Color,"October 25, 2013", | NC-17,90,7.7
High and Low,"November 26, 1963", | Not Rated,90,8.0
Paths of Glory,"December 25, 1957", | TV-14,90,8.4
Cold War,"December 21, 2018", | R,90,7.9
Scarface,"April 9, 1932", | Passed,90,7.4
Once,"May 16, 2007", | R,90,8.2
Big Men,"March 14, 2014", | Not Rated,90,7.4
Hannah and Her Sisters,"February 1, 1986", | PG-13,90,8.0
The Circus,"January 1, 1929", | G,90,7.9
The Tale,"May 26, 2018", | TV-MA,90,7.3
Licorice Pizza,"November 26, 2021", | R,90,6.6
Capote,"September 30, 2005", | R,88,7.7
The Death of Stalin,"March 9, 2018", | R,88,7.3
Miracle on 34th Street,"June 4, 1947", | TV-G,88,7.6
Strangers on a Train,"June 30, 1951", | TV-PG,88,8.6
Tulpan,"April 1, 2009",N/A,88,6.3
Manuscripts Don't Burn,"June 13, 2014", | Not Rated,88,5.9
In Transit,"June 23, 2017", | Not Rated,88,4.8
"Three Billboards Outside Ebbing, Missouri","November 10, 2017", | R,88,7.8
Quest,"December 8, 2017", | Not Rated,88,7.2
Au Revoir les Enfants,"February 12, 1988", | PG,88,7.8
The Mother and the Whore,"October 5, 1973",N/A,88,tbd
A Film Unfinished,"August 18, 2010", | Unrated,88,7.2
Things to Come,"December 2, 2016", | Not Rated,88,6.9
The Grand Budapest Hotel,"March 7, 2014", | R,88,8.4
Winter Sleep,"December 19, 2014", | Not Rated,88,8.4
A Star Is Born,"October 5, 2018", | R,88,8.4
Citizenfour,"October 24, 2014", | Not Rated,88,7.6
Time Out,"March 29, 2002", | PG-13,88,7.1
Thelma & Louise,"May 24, 1991", | R,88,8.1
Away from Her,"May 4, 2007", | PG-13,88,7.9
The Fallen Idol (re-release),"February 10, 2006",N/A,88,6.9
The Father,"February 26, 2021", | PG-13,88,8.6
Fat City,"July 26, 1972", | PG,88,tbd
Foxtrot,"December 8, 2017", | Not Rated,88,7.2
Howards End,"March 13, 1992", | PG,88,8.1
The Innocents,"December 15, 1961", | Approved,88,6.9
Inside Job,"October 8, 2010", | PG-13,88,8.3
I'm Going Home,"August 14, 2002", | Not Rated,88,7.3
Sweet Country,"April 6, 2018", | R,88,7.1
Leave No Trace,"June 29, 2018", | PG,88,7.6
Chicken Run,"June 21, 2000", | G,88,8.0
The King's Speech,"November 26, 2010", | R,88,8.3
Parallel Mothers,"December 24, 2021", | Not Rated,88,7.3
Hell or High Water,"August 12, 2016", | R,88,8.1
Up,"May 29, 2009", | PG,88,8.7
Shirkers,"October 26, 2018", | Not Rated,88,7.6
Mildred Pierce,"October 20, 1945", | TV-PG,88,7.8
45365,"June 18, 2010",N/A,88,7.4
Tootsie,"December 17, 1982", | PG,88,7.9
Marooned in Iraq,"April 25, 2003",N/A,88,7.7
To Kill a Mockingbird,"December 25, 1962", | TV-PG,88,8.5
Aquarius,"October 14, 2016", | Not Rated,88,8.6
"So Long, My Son",TBA,N/A,88,tbd
Eighth Grade,"July 13, 2018", | R,88,7.9
A Serious Man,"October 2, 2009", | R,88,6.8
Toy Story 2,"November 24, 1999", | G,88,8.7
Black Panther,"February 16, 2018", | PG-13,88,6.3
Cemetery of Splendor,"March 4, 2016", | Not Rated,88,6.7
La Chimera,TBA, | Not Rated,88,tbd
The Human Voice,"March 12, 2021", | Not Rated,88,6.7
Brooklyn,"November 4, 2015", | PG-13,88,7.9
Nobody Knows,"February 4, 2005", | PG-13,88,8.5
Apollo 11,"March 1, 2019", | Not Rated,88,8.2
Life Is Sweet,"October 25, 1991", | R,88,7.2
Faces,"November 24, 1968", | R,88,tbd
Mary Poppins,"August 27, 1964", | G,88,8.0
The Lord of the Rings: The Two Towers,"December 18, 2002", | PG-13,87,8.9
L'Enfant (The Child),"March 24, 2006", | R,87,8.6
Jane Fonda in Five Acts,"September 21, 2018", | TV-14,87,6.5
The Conversation,"April 7, 1974", | PG,87,8.4
Good Morning,"February 1, 1962", | Not Rated,87,tbd
Newtown,"October 7, 2016",N/A,87,8.3
Poetry,"February 11, 2011", | Unrated,87,8.0
Restless Creature: Wendy Whelan,"May 24, 2017", | Not Rated,87,4.0
Birdman or (The Unexpected Virtue of Ignorance),"October 17, 2014", | R,87,8.2
Little Women,"December 21, 1994", | PG,87,7.7
Aftershock,"July 19, 2022", | TV-MA,87,5.5
Shakespeare in Love,"December 11, 1998", | R,87,7.1
The Awful Truth,"October 21, 1937", | Passed,87,8.3
Can You Ever Forgive Me?,"October 19, 2018", | R,87,7.6
Wolfwalkers,"November 13, 2020", | PG,87,8.7
It Happened One Night,"February 22, 1934", | Approved,87,8.2
The Body Remembers When the World Broke Open,"November 22, 2019", | TV-MA,87,5.1
The Missing Picture,"October 4, 2013", | Not Rated,87,7.6
"I Travel Because I Have to, I Come Back Because I Love You","March 25, 2011",N/A,87,7.6
The Invisible Man,"November 13, 1933", | TV-PG,87,7.4
Of Men and War,"November 6, 2015", | Not Rated,87,8.3
The Long Goodbye,"March 7, 1973", | R,87,7.3
She Wore a Yellow Ribbon,"October 22, 1949", | Passed,87,tbd
Imitation of Life,"March 18, 1959", | TV-PG,87,tbd
Pain and Glory,"October 4, 2019", | Not Rated,87,8.0
Genèse (Genesis),"August 23, 2019",N/A,87,tbd
The Farthest,"August 11, 2017", | Not Rated,87,6.7
Russian Ark,"November 29, 2002", | Not Rated,87,7.5
Gomorrah,"February 13, 2009", | Not Rated,87,7.2
To Be and to Have,"September 19, 2003",N/A,87,7.7
A Night of Knowing Nothing,"February 11, 2022", | Not Rated,87,6.8
Halloween,"October 25, 1978", | R,87,8.6
Eraserhead,"February 3, 1978", | Not Rated,87,7.6
The Velvet Underground,"October 15, 2021", | R,87,7.6
All That Breathes,"October 21, 2022", | Not Rated,87,7.8
Medium Cool,"August 27, 1969", | R,87,tbd
Attica,"October 29, 2021", | Not Rated,87,6.3
Can You Bring It: Bill T. Jones and D-Man in the Waters,"July 16, 2021", | Not Rated,87,tbd
Three Colors: Blue,"September 3, 1993", | R,87,8.2
In the Mood for Love,"February 2, 2001", | PG,87,7.9
Fire at Sea,"October 21, 2016", | Not Rated,87,7.0
The Fugitive,"August 6, 1993", | PG-13,87,8.7
F for Fake,"September 27, 1975", | PG,87,7.2
Cléo from 5 to 7,"September 4, 1962", | TV-14,87,tbd
Krisha,"March 18, 2016", | R,86,7.9
Dawson City: Frozen Time,"June 9, 2017", | Not Rated,86,6.1
Shadows,"November 11, 1959", | PG,86,7.0
Rebecca,"April 12, 1940", | Approved,86,8.4
Fargo,"March 8, 1996", | R,86,8.6
Walk Up,"March 24, 2023", | Not Rated,86,tbd
The Inheritance,"March 12, 2021", | NR,86,4.2
Mulholland Dr.,"October 12, 2001", | R,86,7.0
The Babadook,"November 28, 2014", | Not Rated,86,8.4
Little Men,"August 5, 2016", | PG,86,7.7
The Kids Are All Right,"July 9, 2010", | R,86,7.2
Boys Don't Cry,"October 8, 1999", | TV-MA,86,7.6
Dead Ringers,"September 23, 1988", | R,86,5.5
Welcome to Chechnya,"June 30, 2020", | Not Rated,86,7.7
The Great Escape,"July 4, 1963", | Approved,86,8.3
Manakamana,"April 18, 2014", | Not Rated,86,4.9
Mission: Impossible – Fallout,"July 27, 2018", | PG-13,86,8.4
Rushmore,"December 11, 1998", | R,86,8.5
Cave of Forgotten Dreams,"April 29, 2011", | Not Rated,86,6.8
My Neighbor Totoro,"April 16, 1988", | G,86,8.6
The Big Sleep,"August 31, 1946", | Passed,86,7.0
King of the Hill,"August 20, 1993", | PG-13,86,8.0
Carrie,"November 16, 1976", | R,86,8.0
The Red Turtle,"January 20, 2017", | PG,86,7.7
Hope and Glory,"February 19, 1988", | PG-13,86,8.5
Tangerine,"July 10, 2015", | Not Rated,86,7.4
My Happy Family,"December 1, 2017", | Not Rated,86,7.3
Chasing Coral,"July 14, 2017", | Not Rated,86,7.1
How to Survive a Plague,"September 21, 2012", | Not Rated,86,8.1
Loveless,"December 1, 2017", | Not Rated,86,8.0
In the Bedroom,"November 23, 2001", | R,86,7.4
Patton,"February 18, 1970", | PG,86,8.3
Barbara,"December 21, 2012", | PG-13,86,7.0
Of Gods and Men,"February 25, 2011", | R,86,6.8
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"June 12, 2019", | TV-MA,86,8.2
One Cut of the Dead,"September 13, 2019", | Not Rated,86,7.6
Museo,"September 14, 2018", | Not Rated,86,7.6
Nobody's Fool,"January 13, 1995", | R,86,8.0
Before the Devil Knows You're Dead,"October 26, 2007", | R,86,8.3
Stranger Than Paradise,"July 25, 1984", | R,86,6.5
Bonnie and Clyde,"August 13, 1967", | R,86,8.2
The Beaches of Agnès,"July 1, 2009",N/A,86,7.1
Das Boot,"February 10, 1982", | Unrated,86,7.2
West Side Story,"December 13, 1961", | Approved,86,7.7
Deliver Us from Evil,"October 13, 2006", | Not Rated,86,8.0
Maidan,"December 12, 2014", | Not Rated,86,6.0
Say Anything...,"April 4, 1989", | PG-13,86,8.1
Drug War,"July 26, 2013", | Not Rated,86,7.2
The Great Beauty,"November 15, 2013", | Not Rated,86,8.1
The Odd Couple,"May 16, 1968", | G,86,7.9
Vitalina Varela,"February 21, 2020", | NR,86,6.9
The Miracle of Morgan's Creek,"February 1, 1944", | Passed,86,tbd
Happening,"May 6, 2022", | R,86,7.5
Black Mother,"March 8, 2019", | NR,86,3.9
The Big Sick,"June 23, 2017", | R,86,7.0
Argo,"October 12, 2012", | R,86,7.7
Summer Hours,"May 15, 2009",N/A,86,7.1
Our Daily Bread,"November 24, 2006",N/A,86,7.8
The Umbrellas of Cherbourg (re-released),"February 13, 2004",N/A,86,8.0
Talk to Her,"November 22, 2002", | R,86,8.2
Under the Sand,"May 4, 2001", | Unrated,86,7.4
Traffic,"December 27, 2000", | R,86,8.8
The Grifters,"December 5, 1990", | R,86,8.0
The Master,"September 14, 2012", | R,86,7.3
The Wild Pear Tree,"January 30, 2019", | Not Rated,86,8.0
My Imaginary Country,"September 23, 2022", | Not Rated,86,tbd
Caché (Hidden),"December 23, 2005", | R,86,6.7
"Distant Voices, Still Lives","September 11, 1988", | PG-13,86,7.7
Nausicaä of the Valley of the Wind,"June 13, 1985", | PG,86,8.5
Aladdin,"November 25, 1992", | G,86,8.7
Los Angeles Plays Itself,"July 28, 2004", | Not Rated,86,8.3
This Is England,"July 27, 2007", | Unrated,86,7.8
Wheel of Fortune and Fantasy,"October 15, 2021", | Not Rated,86,7.8
City of Ghosts,"July 7, 2017", | R,86,6.5
Springtime in a Small Town,"May 14, 2004", | PG,86,tbd
Sweet Sixteen,"May 16, 2003", | R,86,8.1
The Son,"January 10, 2003",N/A,86,8.2
The Player,"April 3, 1992", | R,86,8.1
Ponyo,"August 14, 2009", | G,86,7.7
The Last Detail,"December 12, 1973", | R,86,7.7
Strong Island,"September 15, 2017", | Not Rated,86,5.9
The Interrupters,"July 29, 2011", | R,86,6.8
Ernest & Célestine,"February 28, 2014", | PG,86,7.7
American Factory,"August 21, 2019", | TV-14,86,7.7
Z,"December 8, 1969", | M/PG,86,7.6
Black Narcissus,"December 1, 1947", | TV-14,86,6.3
Only Angels Have Wings,"May 12, 1939", | Approved,86,7.4
Baby Driver,"June 28, 2017", | R,86,7.8
The Bad and the Beautiful,"January 15, 1953", | Approved,86,tbd
The Silence of the Lambs,"February 13, 1991", | R,86,8.8
Sabaya,"July 30, 2021", | Not Rated,86,tbd
Beasts of the Southern Wild,"June 27, 2012", | PG-13,86,7.5
Let the Fire Burn,"October 2, 2013", | Not Rated,86,7.4
Last Train Home,"September 3, 2010",N/A,86,8.0
Crip Camp: A Disability Revolution,"March 25, 2020", | Not Rated,86,7.3
Andy Warhol: A Documentary Film,"September 1, 2006",N/A,86,8.3
The Lost Daughter,"December 17, 2021", | R,86,6.2
Persona,"March 6, 1967", | Not Rated,86,7.8
Desire,"February 28, 1936", | TV-PG,86,tbd
One Fine Morning,"December 9, 2022", | Not Rated,86,6.9
Oasis Knebworth 1996,"September 23, 2021", | Not Rated,85,8.0
Cinderella,"March 4, 1950", | Approved,85,7.7
One Child Nation,"August 9, 2019", | R,85,6.7
24 Hour Party People,"August 9, 2002", | TV-MA,85,8.3
Vengeance Is Mine,"October 17, 1979", | Not Rated,85,tbd
Identifying Features,"January 22, 2021", | Not Rated,85,7.2
Nomad: In the Footsteps of Bruce Chatwin,"August 26, 2020", | Not Rated,85,tbd
Atonement,"December 7, 2007", | R,85,7.8
The Tree of Life,"May 27, 2011", | PG-13,85,7.0
Alexandra,"March 26, 2008",N/A,85,7.3
Naked,"December 15, 1993", | Unrated,85,8.3
The Host,"March 9, 2007", | R,85,6.9
All Is Forgiven (2007),"November 5, 2021", | Not Rated,85,tbd
The Departure,"October 13, 2017", | Not Rated,85,8.5
Starless Dreams,"January 20, 2017", | Not Rated,85,tbd
Restrepo,"June 25, 2010", | R,85,7.5
Grisbi (re-release),"September 5, 2003",N/A,85,8.5
Out of Sight,"June 26, 1998", | R,85,8.7
Women on the Verge of a Nervous Breakdown,"November 11, 1988", | R,85,8.0
Support the Girls,"August 24, 2018", | Not Rated,85,6.7
Stalker,"October 20, 1982", | Not Rated,85,7.6
The Iron Giant,"August 6, 1999", | PG,85,8.7
Shin Ultraman,"January 11, 2023", | Not Rated,85,8.1
Won't You Be My Neighbor?,"June 8, 2018", | Not Rated,85,8.5
Passing Strange,"August 21, 2009", | Not Rated,85,7.3
Meek's Cutoff,"April 8, 2011", | PG,85,6.3
The Long Day Closes,"May 28, 1993", | PG,85,6.9
Fruitvale Station,"July 12, 2013", | R,85,7.8
Rachel Getting Married,"October 3, 2008", | R,85,5.7
The Last Days,"October 23, 1998", | PG-13,85,7.4
Watchers of the Sky,"October 17, 2014", | Not Rated,85,tbd
Everybody Wants Some!!,"March 30, 2016", | R,85,7.0
Holy Motors,"October 17, 2012", | Not Rated,85,7.6
Since Otar Left,"April 30, 2004", | Unrated,85,7.7
The Circle,"April 13, 2001", | Not Rated,85,6.1
Sound and Fury,"October 25, 2000",N/A,85,7.6
Paragraph 175,"September 13, 2000",N/A,85,7.8
Atlantic City,"April 3, 1981", | R,85,7.3
The Handmaiden,"October 21, 2016", | Not Rated,85,8.5
Showing Up,"April 7, 2023", | R,85,6.4
EO,"November 18, 2022", | Not Rated,85,7.3
Slumdog Millionaire,"November 12, 2008", | R,84,7.8
Black Is King,"July 31, 2020", | Not Rated,84,8.7
The Work,"October 20, 2017", | Not Rated,84,7.5
Sling Blade,"November 27, 1996", | Not Rated,84,8.3
A Christmas Tale,"November 14, 2008", | Not Rated,84,6.9
Giant,"November 24, 1956", | TV-G,84,7.6
Brazil,"December 18, 1985", | R,84,8.5
The Dark Knight,"July 18, 2008", | PG-13,84,8.9
In the Shadow of the Moon,"September 7, 2007", | PG,84,7.5
The Big Risk,"November 18, 2005",N/A,84,7.3
Get on the Bus,"October 16, 1996", | R,84,tbd
76 Days,"December 4, 2020", | Not Rated,84,7.3
"Are You There God? It's Me, Margaret","April 28, 2023",N/A,84,7.2
The Truffle Hunters,"March 5, 2021", | Not Rated,84,7.1
Children of Men,"December 25, 2006", | R,84,8.5
Broadcast News,"December 16, 1987", | R,84,7.5
Revanche,"May 1, 2009",N/A,84,8.1
The Man Without a Past,"April 4, 2003", | PG-13,84,7.3
American Movie,"November 5, 1999", | R,84,8.2
Husbands and Wives,"September 18, 1992", | TV-MA,84,tbd
After the Storm,"March 17, 2017", | Not Rated,84,8.0
Moonrise Kingdom,"May 25, 2012", | PG-13,84,8.1
Through a Glass Darkly,"March 13, 1962", | Not Rated,84,tbd
Calle 54,"October 20, 2000", | G,84,4.0
Horse Money,"July 24, 2015", | Not Rated,84,5.2
Up the Yangtze,"April 25, 2008",N/A,84,7.7
Star Wars: Episode VIII - The Last Jedi,"December 15, 2017", | PG-13,84,4.1
High Hopes,"February 24, 1989", | PG,84,8.2
Limelight,"October 23, 1952", | TV-G,84,tbd
McQueen,"July 20, 2018", | Not Rated,84,7.7
In the Heights,"June 11, 2021", | PG-13,84,6.9
The Black Stallion,"October 13, 1979", | G,84,8.1
Booksmart,"May 24, 2019", | R,84,4.8
Wise Blood,"February 17, 1980", | PG,84,tbd
Writing with Fire,"November 26, 2021", | Not Rated,84,6.8
"Small Axe: Red, White and Blue","December 4, 2020",N/A,84,6.8
Ascension,"October 8, 2021", | Not Rated,84,6.1
Lantana,"December 14, 2001", | TV-MA,84,8.2
The Friends of Eddie Coyle,"June 27, 1973", | R,84,tbd
Séraphine,"June 5, 2009", | Unrated,84,7.7
Oliver Twist,"July 30, 1951", | Approved,84,7.8
49 Up,"October 6, 2006",N/A,84,6.4
BPM (Beats Per Minute),"October 20, 2017", | Not Rated,84,8.0
The Joy Luck Club,"September 8, 1993", | R,84,8.1
